"id";"secid";"open";"close";"high";"low";"value";"volume";"dt";"dt_end"
0;"SBER";255.99;255.0;258.19;253.7;9165474633.3;35851840;2020-01-03 00:00:00.000;2020-01-03 23:59:59.000
1;"SBER";254.75;253.9;254.84;251.4;5646009935.8;22348300;2020-01-06 00:00:00.000;2020-01-06 23:59:59.000
2;"SBER";253.57;259.15;259.15;253.03;10485882097.9;40817240;2020-01-08 00:00:00.000;2020-01-08 23:59:59.000
3;"SBER";259.4;257.99;261.76;257.01;9936032087.9;38329020;2020-01-09 00:00:00.000;2020-01-09 23:59:59.000
4;"SBER";257.86;258.19;259.25;256.88;4864405366.3;18851390;2020-01-10 00:00:00.000;2020-01-10 23:59:59.000
5;"SBER";258.3;262.4;262.4;257.15;6719255698.1;25855010;2020-01-13 00:00:00.000;2020-01-13 23:59:59.000
6;"SBER";262.5;259.05;263.22;258.62;8103825686.4;31125740;2020-01-14 00:00:00.000;2020-01-14 23:59:59.000
7;"SBER";258.49;256.31;258.91;254.21;12661740755.8;49361790;2020-01-15 00:00:00.000;2020-01-15 23:59:59.000
8;"SBER";257.11;257.51;259.51;256.1;10367670370.1;40246770;2020-01-16 00:00:00.000;2020-01-16 23:59:59.000
9;"SBER";258.2;262.5;262.82;257.75;11730973230.7;44914290;2020-01-17 00:00:00.000;2020-01-17 23:59:59.000
10;"SBER";263.2;266.28;266.97;261.8;7891039716.6;29797710;2020-01-20 00:00:00.000;2020-01-20 23:59:59.000
11;"SBER";265.5;268.06;268.9;263.02;10116243295.7;38082090;2020-01-21 00:00:00.000;2020-01-21 23:59:59.000
12;"SBER";268.72;266.54;270.8;265.5;11869000221.9;44282490;2020-01-22 00:00:00.000;2020-01-22 23:59:59.000
13;"SBER";264.64;263.73;266.89;262.24;10758037619.6;40604170;2020-01-23 00:00:00.000;2020-01-23 23:59:59.000
14;"SBER";264.5;265.49;267.5;264.21;7262832432.3;27340100;2020-01-24 00:00:00.000;2020-01-24 23:59:59.000
15;"SBER";261.0;255.32;262.1;255.32;14573355407.9;56453370;2020-01-27 00:00:00.000;2020-01-27 23:59:59.000
16;"SBER";257.0;257.7;258.84;254.1;12365444789.1;48137360;2020-01-28 00:00:00.000;2020-01-28 23:59:59.000
17;"SBER";258.4;259.94;261.57;257.61;9098209650.8;35047940;2020-01-29 00:00:00.000;2020-01-29 23:59:59.000
18;"SBER";258.0;257.31;258.69;255.27;8167114682.7;31769340;2020-01-30 00:00:00.000;2020-01-30 23:59:59.000
19;"SBER";258.5;252.2;259.2;252.17;12249844290.7;47921560;2020-01-31 00:00:00.000;2020-01-31 23:59:59.000
20;"SBER";251.8;253.99;254.96;251.1;13363918755.6;52728460;2020-02-03 00:00:00.000;2020-02-03 23:59:59.000
21;"SBER";255.3;255.4;257.38;252.9;12692962569.8;49786360;2020-02-04 00:00:00.000;2020-02-04 23:59:59.000
22;"SBER";255.89;255.2;257.66;253.14;12992374109.8;50756570;2020-02-05 00:00:00.000;2020-02-05 23:59:59.000
23;"SBER";256.5;252.11;258.0;251.86;11098851157;43615980;2020-02-06 00:00:00.000;2020-02-06 23:59:59.000
24;"SBER";253.1;254.3;254.3;248.73;12648688569.6;50226630;2020-02-07 00:00:00.000;2020-02-07 23:59:59.000
25;"SBER";254.55;252.26;255.73;252.07;8929308973.1;35220690;2020-02-10 00:00:00.000;2020-02-10 23:59:59.000
26;"SBER";253.75;254.5;259.77;253.0;20381955261.5;79454730;2020-02-11 00:00:00.000;2020-02-11 23:59:59.000
27;"SBER";255.4;254.5;255.49;252.31;13351886412.8;52523300;2020-02-12 00:00:00.000;2020-02-12 23:59:59.000
28;"SBER";253.62;253.89;255.18;252.5;9314224120;36730840;2020-02-13 00:00:00.000;2020-02-13 23:59:59.000
29;"SBER";254.4;251.75;254.4;251.4;7579007855;30017380;2020-02-14 00:00:00.000;2020-02-14 23:59:59.000
30;"SBER";252.5;251.36;253.1;250.13;6637504387;26429380;2020-02-17 00:00:00.000;2020-02-17 23:59:59.000
31;"SBER";250.07;249.2;250.44;247.57;9054245995.6;36365950;2020-02-18 00:00:00.000;2020-02-18 23:59:59.000
32;"SBER";250.37;249.7;250.68;247.95;6437007441.5;25798890;2020-02-19 00:00:00.000;2020-02-19 23:59:59.000
